Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
8e607053-48ff-4548-ac31-b5d55cac99ec,660500,Lead Add Form,Google,No,No,0,4,1404,3.26,Email Opened,,"Banking, Investment And Insurance",Multiple Sources,,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Thane & Outskirts,02.Medium,02.Medium,15,13,No,No,Email Opened
3576e113-5200-499c-9193-aeabb543507c,660499,API,YouTube,No,No,1,4,619,4.0,Had a Phone Conversation,,Marketing Management,Reference,,,No,No,No,No,No,No,No,No,Busy,,No,No,Select,Other Cities of Maharashtra,02.Medium,02.Medium,14,16,Yes,No,Page Visited on Website
405e32fa-f11e-4003-b455-999069f12bcc,660498,API,Reference,No,No,0,8,555,8.0,Unreachable,Bahrain,Select,Select,Student,Affordable Fees,No,No,No,No,No,No,No,No,Ringing,,No,No,Other Leads,Select,03.Low,01.High,11,15,No,No,Unreachable
b6eb0e42-6e3f-4076-82ef-7484123c9af4,660497,Landing Page Submission,Google,No,No,0,14,309,14.0,SMS Sent,India,Healthcare Management,Multiple Sources,Working Professional,,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Might be,No,No,Lateral Student,Other Metro Cities,01.High,01.High,18,15,No,Yes,Unreachable
90b3012e-da8a-4b14-81ca-5cc36b96545f,660496,API,Olark Chat,No,No,0,0,0,0.0,Form Submitted on Website,Kuwait,"Banking, Investment And Insurance",Email,Student,,No,No,No,No,No,No,No,No,Ringing,Worst,No,No,Other Leads,Other Cities,02.Medium,01.High,16,15,No,No,Olark Chat Conversation
c46471c5-317d-428d-a728-dac600621839,660495,Landing Page Submission,Direct Traffic,No,No,0,16,1805,16.0,Unreachable,Qatar,Select,Reference,Businessman,,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Other Leads,Other Metro Cities,02.Medium,02.Medium,16,14,No,No,Unreachable
c63cca8e-a68e-425e-a9f8-898bbe97c6dd,660494,Landing Page Submission,YouTube,No,No,1,4,1393,4.0,Olark Chat Conversation,Saudi Arabia,Marketing Management,Word Of Mouth,Other,,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Dual Specialization Student,Mumbai,01.High,01.High,16,17,No,No,Modified
f48fbb26-f4f3-49fb-841d-07ca720cfb52,660493,Lead Add Form,Email,No,No,0,10,1221,10.0,Email Link Clicked,India,"Banking, Investment And Insurance",Other,Other,Affordable Fees,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Other Metro Cities,02.Medium,01.High,16,15,No,No,Email Link Clicked
2dec23f1-ebc8-4eaf-a281-99a19de726c6,660492,Lead Import,Direct Traffic,No,No,0,16,1264,16.0,SMS Sent,Bahrain,"Banking, Investment And Insurance",Select,,Affordable Fees,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Other Cities,02.Medium,02.Medium,16,13,No,Yes,Page Visited on Website
2225a608-1e28-437f-af4d-b82d553b608c,660491,API,Organic Search,No,No,0,16,1415,16.0,Unsubscribed,India,Finance Management,Select,Unemployed,Flexibility & Convenience,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,,,01.High,02.Medium,15,14,No,Yes,Unsubscribed
69112a5b-38c3-48c7-a437-6b589d54b179,660490,Lead Add Form,Referral Sites,No,No,0,14,922,14.0,Form Submitted on Website,Qatar,Supply Chain Management,Select,Businessman,Affordable Fees,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,01.High,02.Medium,17,15,No,Yes,Modified
08a20d33-9b6c-40de-a396-6681c298ad94,660489,Quick Add Form,Referral Sites,No,No,0,10,508,10.0,Unsubscribed,India,IT Projects Management,Online Search,Unemployed,Affordable Fees,No,No,No,No,No,No,No,No,Busy,Worst,No,No,,,02.Medium,,14,15,No,Yes,Unsubscribed
89c94853-fba3-4835-bc01-a1c3b2bd35a3,660488,Lead Add Form,Reference,Yes,No,1,17,1781,17.0,View in browser link Clicked,Kuwait,Media and Advertising,Word Of Mouth,Other,Flexibility & Convenience,No,No,No,No,No,No,No,No,Busy,Worst,No,No,Other Leads,Mumbai,02.Medium,01.High,12,17,No,Yes,Olark Chat Conversation
8466d069-64d7-486d-8c47-24774f11991c,660487,API,Reference,No,No,1,16,900,16.0,Email Link Clicked,Qatar,Finance Management,Select,Unemployed,Affordable Fees,No,No,No,No,No,No,No,No,switched off,,No,No,,Mumbai,01.High,02.Medium,18,15,No,No,Email Link Clicked
12c54ee4-bf9f-44a0-a04d-61d206919f0f,660486,Quick Add Form,Reference,No,No,1,1,1437,1.0,SMS Sent,United States,Select,Online Search,Unemployed,Quality Education,No,No,No,No,No,No,No,No,Ringing,Worst,No,No,Lateral Student,Other Cities,03.Low,02.Medium,12,13,No,No,Unreachable
49ceb9fd-95ff-41d1-ae54-ba8f15047783,660485,Quick Add Form,Direct Traffic,No,No,1,13,1693,13.0,SMS Sent,Qatar,Select,Online Search,Student,Better Career Prospects,No,No,No,No,No,No,No,No,number not provided,Low in Relevance,No,No,Other Leads,Other Cities,02.Medium,03.Low,13,12,Yes,No,Modified
2f271e8e-ecc5-4511-9ea0-0d5e0611f55a,660484,Quick Add Form,Reference,Yes,No,0,12,1178,12.0,View in browser link Clicked,Oman,Marketing Management,Select,Working Professional,Affordable Fees,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Select,Thane & Outskirts,02.Medium,02.Medium,14,14,No,No,Modified
91ee70a7-586b-4f1c-b3b2-56b988da058f,660483,Lead Add Form,Facebook,No,No,1,15,1336,15.0,Email Opened,,Select,Reference,Businessman,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,High in Relevance,No,No,Select,Other Metro Cities,01.High,,15,11,No,Yes,Email Opened
06a99752-7394-4988-8fcf-e995c24a4f4c,660482,Lead Add Form,Organic Search,Yes,No,0,1,413,8.1,Email Link Clicked,Saudi Arabia,Retail Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,12,16,No,No,Email Link Clicked
f09db3bb-8ecc-4527-b14c-45091fcf500b,660481,Lead Add Form,YouTube,No,No,1,9,383,5.53,Email Link Clicked,Qatar,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Low in Relevance,No,No,Dual Specialization Student,Thane & Outskirts,02.Medium,02.Medium,12,16,No,No,Email Link Clicked
b4da6b59-55e3-4701-9381-5bf076a732e3,660480,Landing Page Submission,Olark Chat,No,No,0,13,1716,13.0,Unsubscribed,UAE,Human Resource Management,Other,Working Professional,Flexibility & Convenience,No,No,No,No,No,No,No,No,Ringing,,No,No,Other Leads,,02.Medium,02.Medium,12,12,No,No,Unsubscribed
dc4e253d-adab-46e7-8eec-07bddd771034,660479,API,Referral Sites,No,No,0,17,1467,17.0,View in browser link Clicked,UAE,Supply Chain Management,Online Search,Unemployed,Quality Education,No,No,No,No,No,No,No,No,in touch with EINS,,No,No,Select,Other Metro Cities,02.Medium,02.Medium,12,16,No,No,Olark Chat Conversation
e56387d5-e687-4c31-86c0-ecc4881e7139,660478,Lead Import,Welingak Website,No,No,0,12,1550,12.0,Page Visited on Website,United Kingdom,International Business,Reference,,Flexibility & Convenience,No,No,No,No,No,No,No,No,,Might be,No,No,Other Leads,Other Cities of Maharashtra,01.High,02.Medium,18,15,No,Yes,Page Visited on Website
bc01a577-e76e-4032-b530-237b92ab8b56,660477,Landing Page Submission,Direct Traffic,No,No,1,7,350,7.64,Email Link Clicked,Oman,Business Administration,Reference,,Flexibility & Convenience,No,No,No,No,No,No,No,No,number not provided,Worst,No,No,Select,Thane & Outskirts,02.Medium,03.Low,15,13,No,Yes,Email Link Clicked
d0142cab-dd72-41b9-b19b-410e83f43a23,660476,Lead Import,Email,No,No,1,13,1433,13.0,View in browser link Clicked,India,Operations Management,Online Search,Unemployed,Flexibility & Convenience,No,No,No,No,No,No,No,No,in touch with EINS,High in Relevance,No,No,Lateral Student,Mumbai,02.Medium,02.Medium,14,14,No,No,Email Opened
2642ff74-356d-4d76-8e72-735b0cdcb8ca,660475,Lead Add Form,Olark Chat,No,No,1,5,100,5.0,Page Visited on Website,Qatar,E-COMMERCE,Student of SomeSchool,Unemployed,Flexibility & Convenience,No,No,No,No,No,No,No,No,Lost to EINS,Might be,No,No,Lateral Student,,03.Low,03.Low,10,11,No,No,Page Visited on Website
fc6480b5-4729-43b0-98e1-2f3c1586d02f,660474,Quick Add Form,Google,No,No,0,17,1397,17.0,Email Opened,Oman,Hospitality Management,Online Search,,,No,No,No,No,No,No,No,No,Busy,,No,No,Select,Mumbai,02.Medium,02.Medium,15,13,No,No,Email Opened
2bb6e019-4002-4315-8fab-679c4375f619,660473,Lead Add Form,Reference,No,No,0,11,450,11.0,Email Opened,Kuwait,Operations Management,Select,,Flexibility & Convenience,No,No,No,No,No,No,No,No,Already a student,,No,No,Other Leads,,02.Medium,01.High,16,17,No,No,Email Opened
62df1c4f-2228-4de2-80fb-57c5547dd0ef,660472,Landing Page Submission,Welingak Website,No,Yes,1,17,291,1.55,Modified,India,Select,Word Of Mouth,Businessman,Quality Education,No,No,No,No,No,No,No,No,in touch with EINS,,No,No,Select,,02.Medium,02.Medium,16,16,No,No,Modified
37011436-c42a-43c2-b1a7-42afe2d484c0,660471,Lead Import,Facebook,Yes,Yes,0,3,1741,2.56,Page Visited on Website,Kuwait,Services Excellence,Email,Student,Affordable Fees,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Select,,02.Medium,01.High,13,17,No,No,Page Visited on Website
d61cc048-8f64-4f8c-b20e-b57bc34f6d80,660470,Lead Import,Email,Yes,No,0,1,925,1.0,Email Opened,India,Healthcare Management,Online Search,Student,Quality Education,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Leads,Mumbai,02.Medium,01.High,14,16,No,No,Email Opened
05b486e1-dff8-493e-b8d8-8d90b7334e34,660469,API,Referral Sites,Yes,No,0,8,338,8.0,Page Visited on Website,United States,Human Resource Management,Select,Student,,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Worst,No,No,Lateral Student,Mumbai,01.High,02.Medium,15,16,No,Yes,Page Visited on Website
a2a5e2ae-f062-426c-af98-a57e9094386e,660468,Quick Add Form,Welingak Website,No,No,0,6,1682,6.0,Unsubscribed,Qatar,Select,Word Of Mouth,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Low in Relevance,No,No,Potential Lead,,02.Medium,02.Medium,15,14,No,No,Unsubscribed
b44a8a03-5a7d-4df1-93de-9783af05190f,660467,API,Olark Chat,No,No,0,5,276,5.0,Page Visited on Website,United States,Supply Chain Management,Select,Businessman,Flexibility & Convenience,No,No,No,No,No,No,No,No,,,No,No,Dual Specialization Student,Other Cities of Maharashtra,01.High,02.Medium,18,15,No,Yes,Page Visited on Website
434266f5-d762-4981-8b0b-fbc3ecb2cb1d,660466,API,Olark Chat,No,No,0,1,1424,1.0,Form Submitted on Website,United States,Business Administration,Other,Businessman,Flexibility & Convenience,No,No,No,No,No,No,No,No,Lost to EINS,Might be,No,No,Other Leads,Other Cities of Maharashtra,01.High,01.High,16,15,No,Yes,Page Visited on Website
757c6afd-6939-401c-8ed5-28b4ad1b0d75,660465,Landing Page Submission,Facebook,No,No,1,13,357,2.1,Olark Chat Conversation,Saudi Arabia,Hospitality Management,Other,Unemployed,Quality Education,No,No,No,No,No,No,No,No,Will revert after reading the email,Worst,No,No,Select,Thane & Outskirts,03.Low,03.Low,12,13,No,No,Modified
8ee01978-155d-4107-b71b-f997406b4687,660464,Landing Page Submission,Direct Traffic,No,No,0,6,606,6.0,Email Bounced,United States,"Banking, Investment And Insurance",Email,Businessman,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Worst,No,No,Select,,01.High,01.High,18,18,No,Yes,Unreachable
ab503126-6f9d-4046-a69c-23bc7c374796,660463,API,Google,No,No,0,1,620,1.0,SMS Sent,,IT Projects Management,Other,Other,Flexibility & Convenience,No,No,No,No,No,No,No,No,,,No,No,Select,Other Cities,02.Medium,02.Medium,12,15,No,Yes,Email Opened
